ID,[Area] Sample003,[Area] Sample004,[Area] Sample005,[Area] Sample006,[Area] Sample007,[Area] Sample008,[Area] Sample009,[Area] Sample010,[Area] Sample011,[Area] Sample012,[Area] Sample013,[Area] Sample014,[Area] Sample025,[Area] Sample026,[Area] Sample027,[Area] Sample028,[Area] Sample029,[Area] Sample030,[Area] Sample031,[Area] Sample032,[Area] Sample033,[Area] Sample036,[Area] Sample037,[Area] Sample038,[Area] Sample039,[Area] Sample040,[Area] Sample041,[Area] Sample042,[Area] Sample043,[Area] Sample044,[Area] Sample047,[Area] Sample048,[Area] Sample049,[Area] Sample050,[Area] Sample051,[Area] Sample052,[Area] Sample053,[Area] Sample054,[Area] Sample055,[Area] Sample058,[Area] Sample059,[Area] Sample060,[Area] Sample061,[Area] Sample062,[Area] Sample063,[Area] Sample064,[Area] Sample065,[Area] Sample066,[Area] Sample069,[Area] Sample070,[Area] Sample071,[Area] Sample072,[Area] Sample073,[Area] Sample074,[Area] Sample075,[Area] Sample076,[Area] Sample077,[Area] Sample080,[Area] Sample081,[Area] Sample082,[Area] Sample083,[Area] Sample084,[Area] Sample085,[Area] Sample086,[Area] Sample087,[Area] Sample088,[Area] Sample091,[Area] Sample092,[Area] Sample093,[Area] Sample094,[Area] Sample095,[Area] Sample096,[Area] Sample097,[Area] Sample098,[Area] Sample099,[Area] Sample102,[Area] Sample103,[Area] Sample104,[Area] Sample105,[Area] Sample106,[Area] Sample107,[Area] Sample108,[Area] Sample109,[Area] Sample112,[Area] Sample113,[Area] Sample114,[Area] Sample115,[Area] Sample116
name,Badlands,Badlands,Badlands,Badlands,Badlands,Badlands,Badlands,Badlands,Badlands,Badlands,11AS14,11AS10,11AS13,11AS12,11AS07,11AS09,08AS37,08AS26,11AS14,11AS10,11AS13,11AS12,11AS07,11AS15,11AS04,11AS03,15LO25,13LO12,11LO44,11LO40,05LO53,04LO49,16TU44,15LM54,15LM53,16BR81,11LK36,11LK32,11LK33,11LK30,11LK26,17TU493,99L09,99L09,14LO83,05L068,01LO34,17LO74,04LO58,04LO12,02LO43,01LO32,00L13,14LO83,05LO68,12LO46,04LO74,04LO58,04LO12,02LO43,01LO32,OOL13,15BB68,14BB17,14BB03,11BB35,06BB12,g13,y34,y33,g13,w36,y60,y48,p9,r110,w36,y60,r110,y33,y33,y48,r110,y33,b18,p9,g13,b18
class,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Negative,Sample,Negative,Negative,Negative,Negative,Sample,Sample,Sample,Sample,Negative,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Chronic,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Negative,Chronic,Chronic,Negative,Negative,Chronic,Chronic,Sample,Chronic,Negative,Chronic,Chronic,Chronic,Chronic,Chronic,Chronic,Chronic,Negative,Negative,Negative,Sample
year,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2014,2014,2014,2013,2014,2014,2014,2014,2011,2011,2011,2014,2011,2011,2011,2015,2016,2016,2016,2017,2013,2016,2016,2016,2016,2011,2011,2011,2011,2011,2017,2012,2014,2017,2017,2012,2017,2017,2014,2013,2014,2013,2014,2014,2017,2013,2013,2013,2015,2012,2013,2015,2014,2014,2015,2014,2016,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
herd,100,100,100,100,100,100,100,100,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,10,10,10,10,10,7,20,10,10,7,7,20,20,10,7,20,20,20,7,20,20,20,20,10,20
month,11,11,11,11,11,11,11,11,11,11,1,2,2,11,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,3,3,2,8,8,8,8,11,11,11,11,11,10,12,2,12,12,12,12,12,1,12,3,1,3,1,1,2,1,1,1,12,2,2,10,2,2,10,2,2,7,3,3,3,3,7,7,9,10,10,10,10,11,11,11,11,11,11,7
588.3877a4.3,260632.39,15057.43,237786.8,88838.08,361601.7,182544.51,499645.78,123328.3,514326.98,188554.11,6432022.54,383426.49,14957086.4,4895531.72,9894805.58,6789101.31,4845305.88,13995688.44,7094597.21,12180925.94,8864734.49,3337140.67,3896713.86,11285750.71,3162063.95,1419286.59,3220776.17,750026.13,287888.11,1015882.71,137024.28,14531061.68,10803345.3,5489375.24,10720103.88,11326876.07,8445893.73,1160885.82,4434457.66,3498841.99,8594578.37,3816438.09,12017.94,9309082.68,10314907.7,7105831.3,32270.9,4216250.44,6706533.85,6797285.52,6592790.5,14640462.85,17953.07,3759272.89,20651.11,4034660.58,21610512.09,40191.86,680627.42,2892360,9071.21,8589.3,3594235.44,1947624.67,5567984.77,4214580.35,1089317.57,12452.08,4989536.18,16244.01,4345.21,10595.14,8274.5,9363.03,19085.9,6535.56,6527.08,5678.44,8219.66,5918.96,6143.18,4373.32,7357.32,8942.58,82329.5,14612.28,21998.79,24794.94
414.2477a1.18,135100.01,169383.27,5022725.83,166835.51,106315.36,79311.32,113491.85,232198.58,916315.71,68397.97,83145.92,11093.96,46041.79,72916.86,76891.85,83626.85,72886.3,65004.64,62713.59,83204.72,70090.56,81265.95,59811.67,91404.36,43067.02,22247.42,15715.6,5491,34071.63,13275.99,1795.01,57138.6,86687.75,29166.47,54744.36,65328.56,24208.52,9072.06,16781.12,9088.9,28808.85,37215.53,47116.15,40680.58,39118.93,28232.48,85146.83,31573.87,35072.64,51987.75,41096.49,64939.74,49939.52,14905.64,41764.66,19950.9,59938.91,99605.68,15192.06,39105.14,37562.17,37273.22,40762.04,58023.2,33089.69,37678.89,34401.97,51929.41,37102.85,45959.1,74785.24,66029.85,106460.64,52273.35,34796.31,53913.1,61223.65,45464.47,62287.94,55684.87,56262.01,48359.15,58501.46,97590.07,101996.75,529777.85,268287.89,454089.91
238.141a0.67,284069.49,306844.11,2359920.37,286800.18,196744.12,172359.12,195241.09,436907.11,759117.88,162147.29,207126.58,15247.6,169682.07,64573.46,161868.04,158241.15,112616.29,177436.05,133581.76,165133.98,121834.1,104139.64,86577.66,170902.93,86158.37,50842.98,42653.89,13376.55,89013.05,35117.58,5141.89,112492.75,174313.69,89285.37,115961.93,185100.93,66176.47,28179.67,45856.65,36253.21,85799.42,96034.81,102431.78,109315.04,81342.94,79551.92,233432.34,76485.83,108532.88,204616.61,82073.2,109335.36,111767.09,40789.99,111280.99,46173.08,166503.08,340365.74,48901.9,94634.92,83351.64,136731.16,125463.09,94970.12,110949.74,114220.12,78066.78,154997.25,127013,64820.8,199964.34,188979.17,163229.86,177891.71,95190.88,126755.13,137257.71,153301.13,140810.43,124823.57,131950.37,117477.66,142739.93,268209.59,277459.77,1916984.3,1305189.95,1730931.4
398.245a4.22,174942.06,135087.69,119305.55,251137.28,147795.42,160661.4,153131.4,160608.64,139304.95,122256.88,152389.99,14775.22,168213.02,81672.93,159671.55,363897.03,116975.67,153185.04,213826.51,167133.31,141173.84,100038.53,142808.89,286096.03,111620.15,61242.02,65028.11,23665.29,147042.74,43575.58,7052.42,106410.88,289011.01,111801.51,201674.07,258547.87,74862.41,39561.72,47166.58,61321.91,176348.91,202197.25,161990.62,157283.84,141073.31,134979.68,315696.56,83689.3,100649.76,240629.04,102147.95,2004927.15,142366.88,55844.23,151522.69,105451.6,184108.86,418956.92,70229.2,108716.55,121249.04,158104.46,160913.76,126746.36,132468.16,177893.68,130590.16,208571.69,193835.5,172407.61,274946.1,241069.85,218939.38,205914.66,172764.54,174904.99,245382.28,258202.03,201367.34,182513.67,220420.75,154338.2,201879.85,242330.58,253102.59,483550.31,392917.33,545576.19
194.1149a0.56,180266.54,187685.15,868753.51,157455.41,137759.87,89376.62,160169.38,268828.28,338993.73,158392.11,106434.31,9375.21,188529.73,46173.21,68070.42,173992.09,108985.08,174761.77,123153.93,269478.17,83093.87,48839.14,83334.47,166079.72,57140.55,46707.42,28407.01,9246.76,96555.58,21419.63,3780.97,35049.2,128064.62,88119.92,133617.84,185597,36463.24,24627.9,32664.41,29503.62,51822.26,110722.7,109956.92,85551.64,123626.88,87795.66,103559.78,34496.34,83425.92,147095.54,46928.2,87130.49,49460.28,36047.44,94468.81,40628.63,113781.74,239750.73,45591.65,58024.74,48474.96,124706.78,116030.45,82226.08,79576.82,62085.93,72640.89,149223.87,56384.99,83825.49,107245.8,188128.4,149324.12,175923.49,93745.1,118697.46,172323.7,153785.9,161090.06,119932.59,144633.36,58653.7,153953.69,162058.19,238351.67,906073.32,712775.66,2261952.55
