,first_layer_val,second_layer_val,dropout_layer_val,non_chronic_right,non_chronic_wrong,num_chronic_right,num_chronic_wrong
0,50,25,0.2,20,3,4,9
1,50,25,0.25,20,3,8,5
2,50,25,0.3,20,3,7,6
3,50,25,0.35,20,3,4,9
4,50,25,0.4,20,3,7,6
5,50,30,0.2,20,3,6,7
6,50,30,0.25,21,2,4,9
7,50,30,0.3,20,3,7,6
8,50,30,0.35,21,2,7,6
9,50,30,0.4,21,2,7,6
10,50,35,0.2,21,2,6,7
11,50,35,0.25,21,2,6,7
12,50,35,0.3,20,3,6,7
13,50,35,0.35,22,1,7,6
14,50,35,0.4,20,3,5,8
15,50,40,0.2,20,3,6,7
16,50,40,0.25,21,2,8,5
17,50,40,0.3,21,2,5,8
18,50,40,0.35,21,2,6,7
19,50,40,0.4,20,3,7,6
20,50,45,0.2,20,3,8,5
21,50,45,0.25,20,3,4,9
22,50,45,0.3,22,1,6,7
23,50,45,0.35,22,1,7,6
24,50,45,0.4,21,2,4,9
25,50,50,0.2,20,3,5,8
26,50,50,0.25,21,2,6,7
27,50,50,0.3,21,2,6,7
28,50,50,0.35,20,3,6,7
29,50,50,0.4,20,3,8,5
30,50,55,0.2,21,2,5,8
31,50,55,0.25,20,3,6,7
32,50,55,0.3,20,3,5,8
33,50,55,0.35,20,3,6,7
34,50,55,0.4,19,4,5,8
35,50,60,0.2,20,3,7,6
36,50,60,0.25,21,2,9,4
37,50,60,0.3,20,3,6,7
38,50,60,0.35,21,2,7,6
39,50,60,0.4,21,2,3,10
40,50,65,0.2,20,3,8,5
41,50,65,0.25,21,2,8,5
42,50,65,0.3,19,4,5,8
43,50,65,0.35,20,3,7,6
44,50,65,0.4,21,2,6,7
45,50,70,0.2,21,2,7,6
46,50,70,0.25,21,2,7,6
47,50,70,0.3,20,3,7,6
48,50,70,0.35,21,2,6,7
49,50,70,0.4,21,2,5,8
50,50,75,0.2,20,3,6,7
51,50,75,0.25,21,2,6,7
52,50,75,0.3,21,2,8,5
53,50,75,0.35,19,4,8,5
54,50,75,0.4,20,3,5,8
55,50,80,0.2,21,2,6,7
56,50,80,0.25,21,2,6,7
57,50,80,0.3,19,4,6,7
58,50,80,0.35,21,2,6,7
59,50,80,0.4,20,3,7,6
60,50,85,0.2,21,2,6,7
61,50,85,0.25,20,3,7,6
62,50,85,0.3,21,2,6,7
63,50,85,0.35,22,1,6,7
64,50,85,0.4,20,3,7,6
65,50,90,0.2,20,3,6,7
66,50,90,0.25,21,2,5,8
67,50,90,0.3,20,3,7,6
68,50,90,0.35,20,3,6,7
69,50,90,0.4,20,3,6,7
70,50,95,0.2,21,2,4,9
71,50,95,0.25,22,1,6,7
72,50,95,0.3,21,2,5,8
73,50,95,0.35,21,2,7,6
74,50,95,0.4,20,3,5,8
75,60,25,0.2,20,3,6,7
76,60,25,0.25,21,2,7,6
77,60,25,0.3,21,2,6,7
78,60,25,0.35,20,3,7,6
79,60,25,0.4,20,3,4,9
80,60,30,0.2,20,3,7,6
81,60,30,0.25,20,3,6,7
82,60,30,0.3,21,2,6,7
83,60,30,0.35,21,2,8,5
84,60,30,0.4,20,3,6,7
85,60,35,0.2,21,2,6,7
86,60,35,0.25,21,2,5,8
87,60,35,0.3,21,2,7,6
88,60,35,0.35,19,4,7,6
89,60,35,0.4,20,3,7,6
90,60,40,0.2,20,3,5,8
91,60,40,0.25,21,2,7,6
92,60,40,0.3,20,3,6,7
93,60,40,0.35,20,3,7,6
94,60,40,0.4,20,3,6,7
95,60,45,0.2,20,3,6,7
96,60,45,0.25,20,3,5,8
97,60,45,0.3,20,3,7,6
98,60,45,0.35,20,3,8,5
99,60,45,0.4,21,2,7,6
100,60,50,0.2,21,2,7,6
101,60,50,0.25,21,2,6,7
102,60,50,0.3,20,3,7,6
103,60,50,0.35,20,3,5,8
104,60,50,0.4,17,6,8,5
105,60,55,0.2,21,2,6,7
106,60,55,0.25,20,3,6,7
107,60,55,0.3,20,3,8,5
108,60,55,0.35,20,3,8,5
109,60,55,0.4,21,2,6,7
110,60,60,0.2,20,3,8,5
111,60,60,0.25,20,3,8,5
112,60,60,0.3,21,2,7,6
113,60,60,0.35,20,3,8,5
114,60,60,0.4,20,3,6,7
115,60,65,0.2,21,2,7,6
116,60,65,0.25,22,1,5,8
117,60,65,0.3,20,3,6,7
118,60,65,0.35,20,3,7,6
119,60,65,0.4,21,2,6,7
120,60,70,0.2,21,2,6,7
121,60,70,0.25,20,3,7,6
122,60,70,0.3,22,1,4,9
123,60,70,0.35,21,2,7,6
124,60,70,0.4,20,3,5,8
125,60,75,0.2,21,2,8,5
126,60,75,0.25,21,2,6,7
127,60,75,0.3,21,2,5,8
128,60,75,0.35,20,3,7,6
129,60,75,0.4,20,3,6,7
130,60,80,0.2,21,2,4,9
131,60,80,0.25,20,3,5,8
132,60,80,0.3,21,2,6,7
133,60,80,0.35,20,3,5,8
134,60,80,0.4,20,3,6,7
135,60,85,0.2,19,4,7,6
136,60,85,0.25,21,2,6,7
137,60,85,0.3,20,3,8,5
138,60,85,0.35,20,3,4,9
139,60,85,0.4,21,2,7,6
140,60,90,0.2,20,3,6,7
141,60,90,0.25,20,3,6,7
142,60,90,0.3,20,3,4,9
143,60,90,0.35,21,2,6,7
144,60,90,0.4,21,2,6,7
145,60,95,0.2,22,1,3,10
146,60,95,0.25,20,3,7,6
147,60,95,0.3,20,3,4,9
