ID,[Area] Sample127,[Area] Sample128,[Area] Sample129,[Area] Sample130,[Area] Sample131,[Area] Sample132,[Area] Sample133,[Area] Sample134,[Area] Sample137,[Area] Sample138,[Area] Sample139,[Area] Sample140,[Area] Sample141,[Area] Sample142,[Area] Sample143,[Area] Sample144,[Area] Sample145,[Area] Sample148,[Area] Sample149,[Area] Sample150,[Area] Sample151,[Area] Sample152,[Area] Sample153,[Area] Sample154,[Area] Sample155,[Area] Sample158,[Area] Sample159,[Area] Sample160,[Area] Sample161,[Area] Sample162,[Area] Sample163,[Area] Sample164,[Area] Sample165,[Area] Sample168,[Area] Sample169,[Area] Sample170,[Area] Sample171,[Area] Sample172,[Area] Sample173,[Area] Sample174,[Area] Sample175,[Area] Sample178,[Area] Sample179,[Area] Sample180,[Area] Sample181,[Area] Sample182,[Area] Sample183,[Area] Sample184,[Area] Sample185,[Area] Sample186,[Area] Sample189,[Area] Sample190,[Area] Sample191,[Area] Sample192,[Area] Sample193,[Area] Sample194,[Area] Sample195,[Area] Sample196,[Area] Sample197,[Area] Sample200,[Area] Sample201,[Area] Sample202,[Area] Sample203,[Area] Sample204,[Area] Sample205,[Area] Sample206,[Area] Sample207,[Area] Sample218,[Area] Sample219,[Area] Sample220,[Area] Sample221,[Area] Sample222,[Area] Sample223,[Area] Sample224,[Area] Sample225,[Area] Sample226,[Area] Sample229,[Area] Sample230,[Area] Sample231,[Area] Sample232,[Area] Sample233,[Area] Sample234,[Area] Sample235,[Area] Sample236,[Area] Sample239,[Area] Sample240,[Area] Sample241,[Area] Sample242,[Area] Sample243,[Area] Sample244
name,y60,y48, y33,w36,g13,r110,b18,PW,y60,r110,y60,b18,g13,w36,w36,b18,08A529,04LO73,03LO50,04LO60,12LO75,13LO82,08LO29,12LO38,08LO24,10LO33,04LO73,03LO50,04LO60,2LO75,13LO82,08LO29,12LO38,08LO24,10LO33,17RB16,17RB16,17RB35,17RB35,17RB61,17RB61,17RB68,17RB68,13CLM14,13CLM1,13CLM2,13CLM7,13CLM8,13CLM9,13CLM10,13CLM11,R6,R7,E14,E15,E16,R2,E20,E11,E13,E16,E14,R5,295,39,17-2,17-4,17-3,gigi,46,47,48,49,50,MT-5,3728,3730,830,10206,10207,10208,10211,10216,10217,10428,04LO49,05LO53,11LO40,11LO44,13LO02
class,Chronic,Chronic,Chronic,Negative,Negative,Chronic,Negative,Negative,Chronic,Chronic,Chronic,Negative,Negative,Negative,Negative,Negative,Sample,Sample,Sample,Chronic,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Chronic,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Negative,Chronic,Negative,Negative,Negative,Negative,Negative,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Negative,Negative,Negative,Negative,Sample
year,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2015,2013,2015,2015,2013,2016,2014,2014,2014,2015,2012,2013,2013,2012,2014,2012,2013,2014,2013,2018,2017,2018,2017,2017,2018,2018,2017,2013,2013,2013,2013,2013,2013,2013,2013,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2014,2013,2011,2013,2013
herd,7,7,20,10,10,20,20,20,7,20,7,20,10,10,10,20,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,20,20,20,20,20,20,20,20,20,7,7,7,7,7
month,11,12,1,1,1,1,2,2,2,6,8,10,10,10,11,11,1,2,2,1,2,3,2,3,3,3,12,12,2,12,12,12,12,12,2,2,2,2,2,2,2,2,2,12,12,12,12,12,12,12,12,7,9,7,9,10,12,2,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,3,2,2,12
588.3877a4.3,3093.225324,6000.518229,0,0,0,0,0,0,3695.062383,18384.82203,10373.95187,0,0,8600.619649,5234.058371,3972.224501,48274.54077,0,0,0,6972.205681,6537.403659,4235.556158,0,0,10483.87523,0,0,10574.90228,0,3355.845558,0,17993.04716,33445.60789,7807.140953,13479.66129,20993.21539,0,9291.938352,48325.36214,0,4590.999898,10089.81448,0,4953.570018,32876.00313,17234.08198,0,6891.85576,0,0,6101.609369,0,52182.02552,7870.314371,0,0,5128.314576,0,3307.499625,0,5137.816566,3584.456582,10027.98631,3213.539655,41168371.23,104158.8025,49770004.51,14495.58931,4968882.433,7200584.294,25861.01861,23975.18995,20575.94864,32067.09272,8513.487857,5899.435347,5565.738631,4455.158987,73909913,138568.9372,67421.02892,38046221.89,260705.9655,37977381.68,195422.2102,156529.5688,102502.028,79348.23231,47901.57193
530.3467a4.18,0,0,7526.703882,0,19649.92878,0,0,0,0,0,0,0,0,0,0,0,103531.7326,3665.617221,0,36983.35029,20448924.05,116227.3565,0,128889.7331,0,0,0,0,194784.5302,0,0,0,15024169.14,3492410.483,135002.7276,95225.47847,293095.6364,196702.3058,310087.9152,556092.625,355471.2995,170402.569,572018.4423,0,0,0,0,0,0,0,0,257727.9073,551535.535,298702.3808,212806.1253,539399.2662,333654.9474,237926.6101,268978.1494,237620.5915,167201.811,0,201856.2728,208171.5813,13717.84781,0,0,0,0,0,0,0,0,0,0,191420.0131,502413.7683,121522.5825,361277.9103,444235.5273,255371.0077,166265.2836,304241.0853,496181.2641,319862.4421,101228.9791,10821421.67,97445.8878,297376.9122,3821338.325
434.2875a3.94,0,137185.7335,123146.3261,64117.54139,0,0,1810100.307,0,60940.70373,1123584.686,88915.45937,29414.96603,0,0,0,28158.09047,3104182.58,346342.9188,66141.5473,141442.9174,32767.10054,0,106447.3815,174359.4995,123646.1479,338786.5311,351086.636,413258.2525,104588.1356,625505.7237,52100.18303,343249.0361,171156.98,358085.232,360638.3149,1698262.353,16543007.35,1976246.481,5024087.641,1806607.684,1021702.883,3506875.967,473532.3575,400148.0457,165274.1003,768607.3834,226827.3191,387622.6829,787231.8075,197859.267,115827.7014,430677.5625,0,1243972.098,273037.168,300241.145,477416.874,783089.1048,171965.1366,0,2782427.772,2433238.011,1720275.762,4090929.17,7485916.065,33358.97646,579365.5511,25400.63322,22111.15444,1058258.415,73837.95835,112084.8522,62896.21264,217231.7024,93468.15048,201920.5341,893476.8524,3103242.777,3480234.4,1007314.326,130079.1757,6356832.782,123769.2583,355405.0979,1174869.089,265195.401,52451.48074,277131.1006,323127.1344,343297.4638
238.141a0.67,44676.25873,101975.6107,0,96849.75763,0,104420.7913,825823.1726,0,100521.9505,416876.8362,191915.22,40401.06989,0,52970.12752,100411.9778,102033.8027,127256.2354,279673.6611,347903.8549,122168.4632,0,144266.7452,181115.4782,0,0,60230.41522,134743.8368,1003459.703,111688.5269,74410.36493,0,0,137457.977,77158.61173,103715.1956,101420.8036,10273629.35,110891.195,189637.1275,133944.6799,72041.03206,105636.0191,87606.91415,296373.1427,80391.15486,254233.3325,376870.9508,295582.5586,91337.07112,329540.8355,90250.71457,77776.67293,0,132914.3832,156257.1973,104367.0882,111793.3019,0,0,108247.4635,112189.2276,264021.4492,229520.5162,303572.1095,195745.8432,0,0,0,0,956994.5594,0,0,0,32226.02227,0,35820.47943,206878.5859,9910690.313,166517.8096,122787.1501,0,328672.7009,0,151784.6271,130962.5987,0,104266.1717,162556.2793,63664.28431,35378.61797
194.1149a0.56,0,20795.03021,0,121778.5439,23418.11021,0,0,20102.45835,30698.25674,0,28114.27648,21175.17155,0,11269.93967,0,34276.08254,8779693.041,26473.90215,20816.56562,2920866.378,14936.23217,563180.3565,27917.78677,7524691.241,96609.3426,60177.03129,58958.64541,35660.52529,13540568.54,0,34898.07084,0,0,1920036.174,3795643.356,1051830.008,845438.0423,3468407.931,4671418.907,11054970.71,3070644.036,996491.9365,5193805.044,30515.10278,89352.91412,109989.8128,83894.86588,48159.58504,0,45033.99379,92507.06214,6802100.704,19291547.53,17935704.08,11517441.62,8539231.447,19377204.98,17201170.32,26162157.47,14038822.23,4162824.434,296148.8231,11922595.3,4237956.658,166062.2095,95864.45998,94122.56996,0,8455.934567,91202.55632,32421.47648,17144.36386,35570.40488,28185.19471,15527.85754,6153430.481,6155748.759,380045.2742,5373494.733,6358137.815,7337748.655,4165565.298,7583334.206,10609875.68,8492167.103,3221883.58,67881.06896,1650264.24,4486360.407,45913.06527
