Labid,Bioid,date.of.blood.draw,herd,month,year,Class
Sample003,Badlands,11/13/2017,Badlands,11,2017,Negative
Sample004,Badlands,11/13/2017,Badlands,11,2017,Negative
Sample005,Badlands,11/13/2017,Badlands,11,2017,Negative
Sample006,Badlands,11/13/2017,Badlands,11,2017,Negative
Sample007,Badlands,11/13/2017,Badlands,11,2017,Negative
Sample008,Badlands,11/13/2017,Badlands,11,2017,Negative
Sample009,Badlands,11/13/2017,Badlands,11,2017,Negative
Sample010,Badlands,11/13/2017,Badlands,11,2017,Negative
Sample011,Badlands,11/13/2017,Badlands,11,2017,Negative
Sample012,Badlands,11/13/2017,Badlands,11,2017,Negative
Sample013,11AS14,1/14/2015,Asotin,1,2015,Negative
Sample014,11AS10,2/26/2014,Asotin,2,2014,Negative
Sample025,11AS13,2/26/2014,Asotin,2,2014,Negative
Sample026,11AS12,11/13/2014,Asotin,11,2014,Negative
Sample027,11AS07,2/5/2013,Asotin,2,2013,Negative
Sample028,11AS09,2/26/2014,Asotin,2,2014,Negative
Sample029,08AS37,2/26/2014,Asotin,2,2014,Negative
Sample030,08AS26,2/26/2014,Asotin,2,2014,Negative
Sample031,11AS14,2/5/2014,Asotin,2,2014,Negative
Sample032,11AS10,2/5/2011,Asotin,2,2011,Negative
Sample033,11AS13,2/5/2011,Asotin,2,2011,Negative
Sample036,11AS12,2/5/2011,Asotin,2,2011,Negative
Sample037,11AS07,2/26/2014,Asotin,2,2014,Negative
Sample038,11AS15,2/5/2011,Asotin,2,2011,Negative
Sample039,11AS04,2/5/2011,Asotin,2,2011,Negative
Sample040,11AS03,2/5/2011,Asotin,2,2011,Negative
Sample041,15LO25,1/29/2015,Lostine,1,2015,Negative
Sample042,13LO02,3/4/2016,Lostine,3,2016,Negative
Sample043,11LO44,2/23/2016,Lostine,2,2016,Negative
Sample044,11LO40,3/2/2016,Lostine,3,2016,Negative
Sample047,05LO53,3/23/2017,Lostine,3,2017,Negative
Sample048,04LO49,2/19/2013,Lostine,2,2013,Negative
Sample049,16TU44,8/30/2016,Asotin,8,2016,Negative
Sample050,15LM54,8/29/2016,Asotin,8,2016,Negative
Sample051,15LM53,8/29/2016,Asotin,8,2016,Negative
Sample052,16BR81,8/30/2016,Asotin,8,2016,Negative
Sample053,11LK36,11/1/2011,BlackButte,11,2011,Negative
Sample054,11LK32,11/1/2011,Lookout Mtn,11,2011,Negative
Sample055,11LK33,11/1/2011,Lookout Mtn,11,2011,Negative
Sample058,11LK30,11/1/2011,Lookout Mtn,11,2011,Negative
Sample059,11LK26,11/30/2011,Lookout Mtn,11,2011,Negative
Sample060,17TU93,10/9/2017,Tucannon,10,2017,Negative
Sample061,99L09,12/1/2012,Lostine,12,2012,Chronic
Sample062,99L09,2/5/2014,Lostine,2,2014,Chronic
Sample063,14LO83,12/11/2017,Lostine,12,2017,Chronic
Sample064,05L068,12/12/2017,Lostine,12,2017,Chronic
Sample065,01LO34,12/11/2012,Lostine,12,2012,Chronic
Sample066,17LO74,12/13/2017,Lostine,12,2017,Positive
Sample069,04LO58,12/12/2017,Lostine,12,2017,Chronic
Sample070,04LO12,1/14/2014,Lostine,1,2014,Chronic
Sample071,02LO43,12/11/2013,Lostine,12,2013,Chronic
Sample072,01LO32,3/21/2014,Lostine,3,2014,Chronic
Sample073,00L13,1/26/2013,Lostine,1,2013,Chronic
Sample074,14LO83,3/12/2014,Lostine,3,2014,Chronic
Sample075,05LO68,1/14/2014,Lostine,1,2014,Chronic
Sample076,12LO46,1/11/2017,Lostine,1,2017,Chronic
Sample077,04LO74,2/1/2013,Lostine,2,2013,Chronic
Sample080,04LO58,1/1/2013,Lostine,1,2013,Chronic
Sample081,04LO12,1/1/2013,Lostine,1,2013,Chronic
Sample082,02LO43,1/21/2015,Lostine,1,2015,Chronic
Sample083,01LO32,12/1/2012,Lostine,12,2012,Chronic
Sample084,OOL13,2/6/2013,Lostine,2,2013,Chronic
Sample085,15BB68,2/4/2015,BlackButte,2,2015,Negative
Sample086,14BB17,10/8/2014,BlackButte,10,2014,Negative
Sample087,14BB03,2/27/2014,BlackButte,2,2014,Negative
Sample088,11BB35,2/4/2015,BlackButte,2,2015,Intermittent
Sample091,06BB12,10/1/2014,BlackButte,10,2014,Negative
Sample092,g13,2/22/2016,BlackButte,2,2016,Negative
Sample093,y34,2/26/2014,Lostine,2,2014,Chronic
Sample094,y33,7/30/2015,Snowstorms,7,2015,Chronic
Sample095,g13,3/18/2015,BlackButte,3,2015,Negative
Sample096,w36,3/18/2015,BlackButte,3,2015,Negative
Sample097,y60,3/19/2015,Lostine,3,2015,Chronic
